image_id,status,cant_huevos,cant_dudoso
/data/input/Sample-of-Aedes-eggs-images.png,Sin bajalenguas - mal paralelismo / No busco sin bajalenguas,,
/data/input/The-binary-image-and-the-delineation-of-the-eggs.png,Sin bajalenguas - mal paralelismo / No busco sin bajalenguas,,
